Дата;Объект;ФИО;Место расположения;ХВС модель ПУ;ХВС сер. ном.;ХВС ID;ХВС нач., м3;ХВС кон., м3;ХВС потр., м3;Последнее сообщение;Внимание;Примечания;;;;;;;;;;;;;
2019.06.04 00:00:00 - 2019.06.05 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,14;26,16;0,02;13-06-2019;;;;;;;;;;;;;;;
2019.06.05 00:00:00 - 2019.06.06 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,16;26,17;0,01;13-06-2019;;;;;;;;;;;;;;;
2019.06.06 00:00:00 - 2019.06.07 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,17;26,17;0;13-06-2019;;;;;;;;;;;;;;;
2019.06.07 00:00:00 - 2019.06.08 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,17;26,18;0,01;13-06-2019;;;;;;;;;;;;;;;
2019.06.08 00:00:00 - 2019.06.09 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,18;26,2;0,02;13-06-2019;;;;;;;;;;;;;;;
2019.06.09 00:00:00 - 2019.06.10 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,2;26,21;0,01;13-06-2019;;;;;;;;;;;;;;;
2019.06.10 00:00:00 - 2019.06.11 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,21;26,22;0,01;13-06-2019;;;;;;;;;;;;;;;
2019.06.11 00:00:00 - 2019.06.12 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,22;26,22;0;13-06-2019;;;;;;;;;;;;;;;
2019.06.12 00:00:00 - 2019.06.13 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,22;26,23;0,01;13-06-2019;;;;;;;;;;;;;;;
2019.06.13 00:00:00 - 2019.06.14 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,23;26,23;0;13-06-2019;;;;;;;;;;;;;;;
2019.06.14 00:00:00 - 2019.06.15 00:00:00;Россия, г. Москва, г. Москва, ул. Ленинская Слобода, д. 6/15, кв. 100;;;Счетчик воды с р-модулем «СТРИЖ»;А1015105305813;6F63A0;26,23;26,23;0;13-06-2019;;;;;;;;;;;;;;;
